year,ppi,isic4,output_IV,Z_input,apparent_consumption,change_IP,ls_pre_filled,HHI_dom,d_inv_mu_j,n_firms,dom_j,within_inv_mu,between_inv_mu,entry_inv_mu,exit_inv_mu
2014,171.05833,1410,-.00084209704,-.0008053348170334,12648706,-.00039583072,.67367506,.033092994,-.001395542239754,250,1117582336,.0042744668194141,-.0029703159609693,.0621851776011977,.0648848706993969
2015,176.55417,1410,-.00050573889,-.0017692123014754,11838207,-.00034863874,.67367506,.035098456,-.0392185464292458,241,1073277184,-.026888000494612,.0099613061244886,.0905507730731358,.1128426251322586
2016,185.02251,1410,-.0013173977,-.0007207492936843,11227807,.00049754605,.67367506,.04036063,-.0936674234171039,250,1145259648,-.0210202327147159,-.0807988698135672,.0536161223527757,.0454644432415955
2017,201.71666,1410,-.00022907423,-.0009228318314456,11129297,-.0038181981,.67367506,.045980971,-.0366274664650114,260,1132353280,.0072373064752031,-.0105925414918467,.0500760142567353,.0833482457051034
2018,231.64333,1410,-.00079026667,-.0004333763602915,9990274,-.00062371325,.67367506,.020263636,-.1134931471995545,257,769238976,.002785133105582,-.0821244370815484,.0591976311619468,.0933514743855348
2019,252.50417,1410,-.00056119007,.0001229966441709,9904525,-.0037306463,.67367506,.032418713,.1712581834123239,255,767448640,.0134562404713688,.1488946565810128,.0957594293497187,.086852142989776
2020,261.17416,1410,,,,,.67367506,.016076865,.0122375351229209,233,463051968,-.0067331199117375,.1274002736365569,.0727231662853326,.1811527848872312
2021,289.2175,1410,,,,,.67367506,.0285731,-.042402908289641,182,437457632,.0023764023809924,.0179266225100934,.0678218866123647,.1305278197930919
2022,447.48416,1410,,,,,.67367506,.044755649,-.0408067856594129,117,345801216,.0014132378724791,.1125677471833447,.0043027746249325,.1590905453401689
2023,693.92999,1410,,,,,.67367506,.60945892,.0701560047166605,2,14751430,.001322600657556,.6558053947607451,0,.5869719907016409
2009,125.715,1420,,,,,.60917085,.097749218,,13,36564128,0,0,0,0
2010,125.15166,1420,,,,,.60917085,.15021296,.1944648676454686,17,78592560,-.0193647406546917,.0877494875089197,.1752232420243687,.049143121233128
2011,135.9825,1420,-.0034931137,-.0003567666621755,175365.34,,.60917085,.13124412,.0426245876760758,17,100610824,.0403073942886914,-.0450395034726397,.048098838858447,.000742141998423
2012,138.10249,1420,.012206394,-.0002366420096249,236136.61,-.045413934,.60917085,.12814222,-.0101181910433313,20,94952360,-.0026175562544109,.0001428707549048,.0404553333146217,.048098838858447
2013,152.3475,1420,-.010645892,-.001287614154549,287596.66,.0044269152,.60917085,.1087857,-.0058224192538261,19,90546208,-.0009177715699717,-.0447395737384363,.0707923653058058,.0309574392512239
2014,170.39751,1420,-.0046521756,-.0008053348170334,201909.88,.0040830486,.60917085,.165658,.0250516279752261,18,128882000,.0096243260770338,-.1241104253545737,.2990235145150963,.1594857872623305
2015,176.05167,1420,-.019160317,-.0017692123014754,73663.344,-.012556795,.60917085,.16771305,-.0463226651865741,21,118759776,.0023659382834056,.0896433955705087,.0509750861286671,.1893070851691554
