isic4,year,inv_mu_j,ln_mu_j,HHI_dom,CR4_dom,CR10_dom,n_firms,dom_j,change_IP,output_IV,Z_input,ls_pre_filled,post2016,mu_j,d_inv_mu_j,d_ln_mu_j,ls_pre_x_post2016,S_jt,q75_dln_mu_model,q80_dln_mu_model,q85_dln_mu_model,q90_dln_mu_model,counterfactual_label,scenario,observed_output_shock,observed_input_shock,output_shock_model,input_shock_model
1430,2017,0.9433757645376916,0.05829059794924535,0.032264343754593576,0.254921429476203,0.45065864537028305,87,243720240.0,,,,0.61435676,1.0,1.0600229914641253,0.023176146209995196,-0.02487405808264155,0.6143567562103271,0.007467523217201233,0.0,0.0,0.014372013610064455,0.0744524059549064,output-competition counterfactuals,observed,,,,
1430,2018,0.9109263337153211,0.09329324809241103,0.04108552218325498,0.29849579820644984,0.5190282031594544,71,153690992.0,,,,0.61435676,1.0,1.097783611020862,-0.032449430822370506,0.035002650143165684,0.6143567562103271,0.006889462471008301,0.0,0.013847100461336886,0.04515675894740853,0.07883045008576178,output-competition counterfactuals,observed,,,,
1430,2019,0.9072349352558732,0.09735383787016662,0.04058602865965563,0.283376921231797,0.5313453006589802,72,156603136.0,,,,0.61435676,1.0,1.1022503225341116,-0.003691398459447881,0.0040605897777555855,0.6143567562103271,0.0081270607188344,0.0,0.0,0.030094234748924906,0.06799807676304481,output-competition counterfactuals,observed,,,,
1511,2011,0.946784382155266,0.05468389687837367,0.10946901991295441,0.5666872584727741,0.9029175963160444,20,85106360.0,,-0.001528079,-0.000356766662175545,0.54833156,0.0,1.0562066916689032,,,0.0,0.0016616444336250424,0.0,0.0028891407807960334,0.01582332172950765,0.029494793020865655,output-competition counterfactuals,observed,,,,
1511,2012,0.9150855073512042,0.08873776741580253,0.09517336535893582,0.5141500286144982,0.8583888262862038,21,68635072.0,-0.003854935,-0.0010132244,-0.0002366420096249211,0.54833156,0.0,1.0927940525411535,-0.03169887480406175,0.03405387053742886,0.0,0.001463268301449716,0.0,0.014967160031820914,0.02638797711613483,0.06871930081055799,output-competition counterfactuals,observed,,,,
1511,2013,0.9481441294998215,0.053248752945951335,0.08990237292614826,0.48200015497396664,0.8368633592780076,18,50038724.0,0.003058034,-0.002656599,-0.0012876141545490327,0.54833156,0.0,1.0546919702255966,0.03305862214861732,-0.03548901446985119,0.0,0.0013339676661416888,0.0,0.0,0.0,0.010703317238745472,output-competition counterfactuals,observed,,,,
1511,2014,0.9450336733451669,0.056534718953751846,0.07598964089444793,0.4470841894691606,0.7761752899945047,24,78892168.0,-0.002404037,-0.00012288388,-0.0008053348170333763,0.54833156,0.0,1.0581633524869722,-0.0031104561546546616,0.0032859660078005115,0.0,0.0018813933711498976,0.0,0.0,0.005992928850808237,0.0129472663321944,output-competition counterfactuals,observed,,,,
1511,2015,0.9577341472414364,0.04318504762248346,0.08076804576980844,0.4632587808777954,0.771723338201446,23,67600632.0,-0.00536175,-0.00011498527,-0.0017692123014754202,0.54833156,0.0,1.0441310909507633,0.012700473896269493,-0.013349671331268388,0.0,0.0018409404437988997,-0.00011517116574034925,0.0,0.0,0.0276811025597451,output-competition counterfactuals,observed,,,,
1511,2016,0.9020923924116374,0.10303833355359891,0.10265898672010136,0.5616152546391578,0.8352496930456972,17,37994496.0,-0.0016880396,-0.0018196747,-0.0007207492936842641,0.59703887,1.0,1.108533902305304,-0.05564175482979894,0.059853285931115455,0.5970388650894165,0.001089682918973267,0.019244477079054134,0.03440166650825127,0.0434182229687122,0.06014545126888001,output-competition counterfactuals,observed,,,,
1511,2017,0.9239934112291314,0.07905033807027974,0.08981841510171086,0.4814630180902213,0.8425548958740212,19,35350128.0,0.0013871433,0.0016205389,-0.0009228318314455919,0.59703887,1.0,1.0822587995186694,0.021901018817493956,-0.023987995483319174,0.5970388650894165,0.0010831184918060899,0.0,0.01110568444873433,0.03017487536953589,0.046478740096607414,output-competition counterfactuals,observed,,,,
1511,2018,0.9293453235610759,0.07327489388633739,0.1051826729106912,0.5446564955260825,0.8766492460283176,19,26526048.0,,-0.0013516988,-0.00043337636029150417,0.59703887,1.0,1.0760262893110482,0.005351912331944542,-0.005775444183942352,0.5970388650894165,0.001189075643196702,0.0,0.022711625360776398,0.07860823190689986,0.1345138960685401,output-competition counterfactuals,observed,,,,
1511,2019,0.8635761499733609,0.14667319770598009,0.14528357024984184,0.6437523693074251,0.9621298659252868,15,17070130.0,,-0.0014595984,0.00012299664417092515,0.59703887,1.0,1.157975472146663,-0.06576917358771506,0.0733983038196427,0.5970388650894165,0.0008858697256073356,0.005330439369784057,0.02281121663626534,0.06533739927470536,0.07350538487619261,output-competition counterfactuals,observed,,,,
1512,2011,0.8680748907645944,0.14147728836095205,0.09435107130444605,0.5499946091313404,0.8094491676290791,23,43582032.0,,-0.0079660835,-0.000356766662175545,0.6457461,0.0,1.151974340738282,,,0.0,0.0008509098552167416,0.007583247232030105,0.03220394481137859,0.10829490641720135,0.1626740401415213,output-competition counterfactuals,observed,,,,
1512,2012,0.7598052631572827,0.27469311122275003,0.15055362813910722,0.648074043857262,0.9019861488233396,19,60196864.0,-0.0037229955,-0.02129294,-0.0002366420096249211,0.6457461,0.0,1.3161267083681625,-0.10826962760731174,0.13321582286179798,0.0,0.0012833696091547608,0.08318564866857575,0.11232351549390529,0.14574638093989387,0.16324566330311602,output-competition counterfactuals,observed,,,,
1512,2013,0.8216793612059541,0.1964050315492477,0.15259928394510383,0.6814383836103821,0.9271196730143373,21,61280756.0,0.0068616867,-0.0049187797,-0.0012876141545490327,0.6457461,0.0,1.2170197369109164,0.06187409804867139,-0.07828807967350232,0.0,0.001633665757253766,0.0,0.0,0.12446416541505739,0.18771707324285014,output-competition counterfactuals,observed,,,,
1512,2014,0.7184014283450626,0.3307267737652459,0.12572267313813593,0.6452552455423175,0.903204344496971,27,94142792.0,0.00086823106,-0.00630136,-0.0008053348170333763,0.6457461,0.0,1.391979415051608,-0.10327793286089149,0.13432174221599819,0.0,0.0022450850810855627,0.0,0.015602477514935079,0.0883124008836145,0.2571106399502152,output-competition counterfactuals,observed,,,,
1512,2015,0.6582120569613288,0.4182281245590416,0.15646372371887785,0.6832676560307226,0.9002541732156468,27,89071656.0,-0.023128597,-0.019046923,-0.0017692123014754202,0.6457461,0.0,1.5192672170372472,-0.060189371383733814,0.08750135079379573,0.0,0.0024256519973278046,0.0,0.011148777760158156,0.0723177247595377,0.16644376428379348,output-competition counterfactuals,observed,,,,
