isic4,year,markup_dispersion_wedge,counterfactual_label,scenario
1511,2014,0.010619435477380907,output-competition counterfactuals,observed
1511,2015,0.002575149473356703,output-competition counterfactuals,observed
1511,2016,0.011351140692526986,output-competition counterfactuals,observed
1511,2017,0.008988780225968955,output-competition counterfactuals,observed
1511,2018,0.019356242141914042,output-competition counterfactuals,observed
1511,2019,0.022803230362316608,output-competition counterfactuals,observed
1512,2011,0.02596810861265431,output-competition counterfactuals,observed
1512,2012,0.043268043013746475,output-competition counterfactuals,observed
1512,2013,0.07200190786193042,output-competition counterfactuals,observed
1512,2014,0.14754454887779625,output-competition counterfactuals,observed
1512,2015,0.20737779334868078,output-competition counterfactuals,observed
1512,2016,0.22628462793860962,output-competition counterfactuals,observed
1512,2017,0.19637367575842463,output-competition counterfactuals,observed
1512,2018,0.21998152321427908,output-competition counterfactuals,observed
1512,2019,0.1425970577897131,output-competition counterfactuals,observed
1520,2011,0.045072602793734796,output-competition counterfactuals,observed
1520,2012,0.01940723089851029,output-competition counterfactuals,observed
1520,2013,0.050724597685456195,output-competition counterfactuals,observed
1520,2014,0.03708218885605724,output-competition counterfactuals,observed
1520,2015,0.02751253919240769,output-competition counterfactuals,observed
1520,2016,0.032315392848308276,output-competition counterfactuals,observed
1520,2017,0.027918000188475563,output-competition counterfactuals,observed
1520,2018,0.037475119253040784,output-competition counterfactuals,observed
1520,2019,0.04053799379934447,output-competition counterfactuals,observed
1610,2013,0.010413477240937358,output-competition counterfactuals,observed
1610,2014,4.2667222013250256e-05,output-competition counterfactuals,observed
1610,2019,0.0006990091758614375,output-competition counterfactuals,observed
1621,2011,0.01721704851503365,output-competition counterfactuals,observed
1621,2012,0.017291817101656552,output-competition counterfactuals,observed
1621,2013,0.02591170657118706,output-competition counterfactuals,observed
1621,2014,0.01183433290555134,output-competition counterfactuals,observed
1621,2015,0.03286630339302757,output-competition counterfactuals,observed
1621,2016,0.03664977749369449,output-competition counterfactuals,observed
1621,2017,0.06159220521119227,output-competition counterfactuals,observed
1621,2018,0.0800505348698731,output-competition counterfactuals,observed
1621,2019,0.08987010376521284,output-competition counterfactuals,observed
1622,2011,0.010145676362925203,output-competition counterfactuals,observed
1622,2012,0.015682240215812434,output-competition counterfactuals,observed
1622,2013,0.016042985092179888,output-competition counterfactuals,observed
1622,2014,0.02813222945765105,output-competition counterfactuals,observed
1622,2015,0.0200803733090457,output-competition counterfactuals,observed
1622,2016,0.031018837198552585,output-competition counterfactuals,observed
1622,2017,0.025832717989976356,output-competition counterfactuals,observed
1622,2018,0.08899830685159202,output-competition counterfactuals,observed
1622,2019,0.12470654492119071,output-competition counterfactuals,observed
1623,2011,0.01741535682997833,output-competition counterfactuals,observed
1623,2012,0.01555392250854956,output-competition counterfactuals,observed
1623,2013,0.014314981465980576,output-competition counterfactuals,observed
1623,2014,0.009285075043615417,output-competition counterfactuals,observed
1623,2015,0.05524779936244982,output-competition counterfactuals,observed
1623,2016,1.2914587645685087,output-competition counterfactuals,observed
1623,2017,1.2458342481059377,output-competition counterfactuals,observed
1623,2018,0.02249321488398924,output-competition counterfactuals,observed
1623,2019,0.04100585761843248,output-competition counterfactuals,observed
1629,2011,0.021477714002376195,output-competition counterfactuals,observed
